Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
C012_S12_L001_R2_001	1694.0	932.0	928.0	820.0	876.0	738.0	741.0	2684.0	682.0	653.0	2577.0	1043.0	713.0	1534.0	549.0	513.0	466.0	487.0	423.0	392.0	440.0	354.0	6323.0	100287.0
C013_S13_L001_R1_001	9471.0	5563.0	5702.0	5133.0	5442.0	4921.0	4938.0	11679.0	4635.0	4309.0	12112.0	5813.0	4983.0	8605.0	3686.0	3237.0	3241.0	3315.0	3011.0	2915.0	3231.0	2648.0	34687.0	456877.0
C013_S13_L001_R2_001	9490.0	5571.0	5712.0	5126.0	5456.0	4904.0	4940.0	11722.0	4637.0	4303.0	12160.0	5816.0	5020.0	8632.0	3683.0	3237.0	3239.0	3300.0	3005.0	2914.0	3223.0	2646.0	32108.0	459310.0
C014_S14_L001_R1_001	344.0	99.0	193.0	75.0	214.0	69.0	106.0	1869.0	86.0	82.0	2248.0	590.0	71.0	1547.0	91.0	33.0	31.0	47.0	36.0	31.0	49.0	44.0	6788.0	110332.0
C014_S14_L001_R2_001	345.0	98.0	199.0	76.0	213.0	69.0	111.0	1890.0	85.0	82.0	2276.0	599.0	74.0	1567.0	93.0	34.0	30.0	49.0	34.0	31.0	49.0	46.0	6069.0	110956.0
C016_S15_L001_R1_001	406.0	37.0	34.0	48.0	34.0	72.0	54.0	4530.0	50.0	78.0	1372.0	1098.0	86.0	247.0	53.0	41.0	37.0	40.0	54.0	24.0	23.0	24.0	4291.0	125807.0
C016_S15_L001_R2_001	411.0	35.0	37.0	48.0	36.0	77.0	55.0	4622.0	51.0	77.0	1397.0	1123.0	90.0	254.0	54.0	40.0	34.0	40.0	57.0	22.0	23.0	26.0	4236.0	125695.0
C017_S16_L001_R1_001	254.0	104.0	202.0	64.0	224.0	67.0	90.0	2150.0	82.0	75.0	3176.0	505.0	78.0	1611.0	96.0	23.0	26.0	43.0	43.0	29.0	48.0	36.0	6585.0	103152.0
C017_S16_L001_R2_001	256.0	109.0	201.0	65.0	227.0	68.0	89.0	2192.0	89.0	77.0	3225.0	511.0	79.0	1614.0	100.0	23.0	28.0	44.0	45.0	29.0	51.0	36.0	5902.0	103703.0
C018_S17_L001_R1_001	258.0	97.0	194.0	72.0	244.0	73.0	126.0	2667.0	108.0	95.0	3230.0	691.0	73.0	1682.0	95.0	31.0	42.0	59.0	44.0	48.0	52.0	45.0	7816.0	122903.0
C018_S17_L001_R2_001	267.0	101.0	190.0	75.0	242.0	73.0	126.0	2686.0	108.0	95.0	3261.0	695.0	76.0	1706.0	97.0	32.0	44.0	58.0	45.0	45.0	55.0	44.0	6796.0	123828.0
